 Text, Selected_text,Sentiments
Last session of the day  http://twitpic.com/67ezh,Last session of the day  http://twitpic.com/67ezh,0
 Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,also exciting Good,1
"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",hit shame,2
 happy bday!,happy bday,1
 http://twitpic.com/4w75p - I like it!!,like,1
 that`s great!! weee!! visitors!,thats great,1
I THINK EVERYONE HATES ME ON HERE   lol,EVERYONE HATES lol,2
" soooooo wish i could, but im in school and myspace is completely blocked",soooooo wish could school completely blocked,2
 and within a short time of the last clue all of them, and within a short time of the last clue all of them,0
 What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,0
My bike was put on hold...should have known that.... argh total bummer,bike put argh bummer,2
 I checked.  We didn`t win, I checked.  We didn`t win,0
 .. and you`re on twitter! Did the tavern bore you that much?, .. and you`re on twitter! Did the tavern bore you that much?,0
"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",weekend son makes kinda sad getting big,2
Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,coming feel like Thats,2
"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",hot like hate bad week,2
 Miss you,Miss,2
Cramps . . .,ELLE EST BONNE SA MERE,2
 you guys didn`t say hi or answer my questions yesterday  but nice songs.,guys didnt say hi answer yesterday nice songs,1
"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.","I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",0
Stupid storm. No river for us tonight,Stupid us tonight,2
My dead grandpa pays more attention to me than you do,dead,2
"... need retail therapy, bad. AHHH.....gimme money geebus",bad money,2
about to go to sleep,about to go to sleep,0
 you are lame  go make me breakfast!!,lame make breakfast,2
 thats so cool,thats cool,1
"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)","hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",0
"Huh, another ScarePoint coding Sunday","Huh, another ScarePoint coding Sunday",0
 look who I found just for you  --->  http://twitter.com/DJT2009,look found,1
"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",fan doesnt way hot,2
 guess that depends on if you want to be on the jury, guess that depends on if you want to be on the jury,0
resorted to eating Mickey Ds ALONE.,resorted to eating Mickey Ds ALONE.,0
"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world","There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",0
 did he ask for your Twitter ID? Your sun sign?, did he ask for your Twitter ID? Your sun sign?,0
 where`d you go!, where`d you go!,0
Watching Body of Lies...good film,Watching,1
Happy mothers day mumm  xoxo,Happy,1
So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,0
 I`m sorry  at least it`s Friday?,sorry least Friday,2
"feels sorry every time I`m printing out, I use like 200 new papers",feels sorry every use like,2
 4n? ma rog  never heard of it  esti beat acum? u tweet too much,never heard beat tweet,2
 I always forget SOMETHING when I travel. I am at Newark airport., I always forget SOMETHING when I travel. I am at Newark airport.,0
Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,0
i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,0
" Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",Hi agree children running happy,1
  Hope ur havin fun in da club,Hope ur fun da,1
i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,0
thinks SG is wonderful,wonderful,1
